hidden node,upsample,steps,surrogate scale,reg loss,epochs,learning rate,loss,running time,train accuracy,test_accuracy
200,2,152,20.0,0.001,100,0.01,0.14611634544350885,137.61,96.11,95.1
200,1,76,20.0,0.001,100,0.01,0.1290044066580859,76.22,96.41,93.14
200,3,228,20.0,0.001,100,0.01,0.040069659663872284,209.04,99.0,98.67
200,2,152,30.0,0.001,100,0.01,0.2955225557088852,142.39,92.77,92.62
200,1,76,30.0,0.001,100,0.01,0.1907717382366007,75.36,95.43,91.81
200,3,228,30.0,0.001,100,0.01,0.10071377998048608,209.33,97.45,93.1
200,2,152,10.0,0.001,100,0.01,0.007617401975122365,144.25,100.0,99.52
200,1,76,10.0,0.001,100,0.01,0.03522760175507177,76.22,99.16,94.9
200,3,228,10.0,0.001,100,0.01,0.4548737108707428,209.31,85.18,83.9
200,2,152,20.0,0.01,100,0.01,0.028758554296060043,140.66,99.64,95.57
200,1,76,20.0,0.01,100,0.01,0.04051313109018586,76.22,99.25,98.19
200,3,228,20.0,0.01,100,0.01,0.14499481361020694,210.95,96.11,91.67
200,2,152,30.0,0.01,100,0.01,0.02259136727926406,141.12,99.7,98.52
200,1,76,30.0,0.01,100,0.01,0.20590638369321823,76.96,95.09,88.67
200,3,228,30.0,0.01,100,0.01,0.2872319925915111,205.2,91.11,83.14
200,2,152,10.0,0.01,100,0.01,0.008391864936460148,142.34,100.0,97.38
200,1,76,10.0,0.01,100,0.01,0.3727856793186881,75.34,89.02,85.0
200,3,228,10.0,0.01,100,0.01,0.040116958489472214,205.32,99.05,97.86
200,2,152,20.0,0.0001,100,0.01,0.2019630955024199,140.63,95.32,91.95
200,1,76,20.0,0.0001,100,0.01,0.030828804878348656,76.39,99.09,98.52
200,3,228,20.0,0.0001,100,0.01,0.24068937721577557,211.48,93.05,88.29
200,2,152,30.0,0.0001,100,0.01,0.29344590550119226,143.59,91.55,91.05
200,1,76,30.0,0.0001,100,0.01,0.16659762811931697,77.07,95.64,93.19
200,3,228,30.0,0.0001,100,0.01,0.008841128257865255,209.25,100.0,97.86
200,2,152,10.0,0.0001,100,0.01,0.3231639232147824,140.64,91.52,91.67
200,1,76,10.0,0.0001,100,0.01,0.3286239735104821,75.92,90.41,89.48
200,3,228,10.0,0.0001,100,0.01,0.023891496556726368,209.47,99.52,95.9
100,2,152,20.0,0.001,100,0.01,0.034009282985194164,141.48,99.7,98.67
100,1,76,20.0,0.001,100,0.01,0.0328148284249685,76.1,98.8,97.19
100,3,228,20.0,0.001,100,0.01,0.061108845032074234,201.92,97.32,94.48
100,2,152,30.0,0.001,100,0.01,0.015924885445697742,140.98,99.64,97.71
100,1,76,30.0,0.001,100,0.01,0.29807646708054975,74.49,92.11,89.81
100,3,228,30.0,0.001,100,0.01,0.18229363587769595,209.07,96.0,94.62
100,2,152,10.0,0.001,100,0.01,0.26441763070496643,139.78,91.0,88.38
100,1,76,10.0,0.001,100,0.01,0.041693861172957855,75.73,99.68,96.76
100,3,228,10.0,0.001,100,0.01,0.08174380998719823,211.39,97.61,97.05
100,2,152,20.0,0.01,100,0.01,0.16428798352452842,139.53,95.68,92.67
100,1,76,20.0,0.01,100,0.01,0.029850272461771965,76.17,99.14,95.33
100,3,228,20.0,0.01,100,0.01,0.2651796252890067,204.09,92.75,90.9
100,2,152,30.0,0.01,100,0.01,0.010465295308015564,142.46,100.0,99.05
100,1,76,30.0,0.01,100,0.01,0.009689122396097942,74.69,99.64,97.24
100,3,228,30.0,0.01,100,0.01,0.06584044545888901,210.2,98.39,97.38
100,2,152,10.0,0.01,100,0.01,0.023034157146784393,142.87,99.05,97.24
100,1,76,10.0,0.01,100,0.01,0.01213201122697104,75.67,99.64,97.71
100,3,228,10.0,0.01,100,0.01,0.3180144049904563,208.88,91.32,88.05
100,2,152,20.0,0.0001,100,0.01,0.3462787704034285,140.77,89.0,82.43
100,1,76,20.0,0.0001,100,0.01,0.015818322670053352,75.24,99.73,96.71
100,3,228,20.0,0.0001,100,0.01,0.1549608124928041,209.64,95.77,96.71
100,2,152,30.0,0.0001,100,0.01,0.3891786580735987,142.09,90.32,90.14
100,1,76,30.0,0.0001,100,0.01,0.20130085877396844,75.18,95.27,93.14
100,3,228,30.0,0.0001,100,0.01,0.05060135844078931,206.03,99.34,98.24
100,2,152,10.0,0.0001,100,0.01,0.17719370092857967,140.09,96.07,92.29
100,1,76,10.0,0.0001,100,0.01,0.16523955322124742,75.28,95.73,92.62
100,3,228,10.0,0.0001,100,0.01,0.5756891044703397,205.66,83.66,82.86
300,2,152,20.0,0.001,100,0.01,0.006835803262550722,140.93,100.0,98.19
300,1,76,20.0,0.001,100,0.01,0.054256662387739525,76.0,98.68,95.57
300,3,228,20.0,0.001,100,0.01,0.28496021641926333,209.38,92.52,92.19
300,2,152,30.0,0.001,100,0.01,0.05864451283758337,142.63,98.61,94.57
300,1,76,30.0,0.001,100,0.01,0.05772747014733878,76.6,98.07,97.38
300,3,228,30.0,0.001,100,0.01,0.3500237993218682,204.65,90.43,91.0
300,2,152,10.0,0.001,100,0.01,0.1750594214959578,142.56,95.45,94.43
300,1,76,10.0,0.001,100,0.01,0.0040198156440799885,75.91,100.0,97.52
300,3,228,10.0,0.001,100,0.01,0.38683249191804364,207.44,88.36,86.71
300,2,152,20.0,0.01,100,0.01,0.2048819288611412,143.41,94.14,85.0
300,1,76,20.0,0.01,100,0.01,0.01514052523469383,76.16,99.8,98.19
300,3,228,20.0,0.01,100,0.01,0.041379177096215164,210.93,99.18,95.05
300,2,152,30.0,0.01,100,0.01,0.006797481412914666,141.99,100.0,97.71
300,1,76,30.0,0.01,100,0.01,0.029611917212605476,75.78,98.5,96.24
300,3,228,30.0,0.01,100,0.01,0.014190192673016678,206.52,99.45,98.67
300,2,152,10.0,0.01,100,0.01,0.14672296392646703,142.56,95.91,92.9
300,1,76,10.0,0.01,100,0.01,0.025662666610018772,76.0,99.73,94.29
300,3,228,10.0,0.01,100,0.01,0.00797720393165946,209.36,100.0,97.67
300,2,152,20.0,0.0001,100,0.01,0.019666624255478382,139.77,99.55,96.57
300,1,76,20.0,0.0001,100,0.01,0.1506587341427803,75.23,93.82,91.48
300,3,228,20.0,0.0001,100,0.01,0.10662090744484555,206.12,98.57,96.71
300,2,152,30.0,0.0001,100,0.01,0.02580261171202768,144.05,99.64,95.81
300,1,76,30.0,0.0001,100,0.01,0.10132385451685298,76.13,95.18,90.0
300,3,228,30.0,0.0001,100,0.01,0.15575585446574472,211.39,95.66,90.86
300,2,152,10.0,0.0001,100,0.01,0.023312114348465748,140.04,99.82,95.38
300,1,76,10.0,0.0001,100,0.01,0.04125846160406416,76.23,98.32,95.86
300,3,228,10.0,0.0001,100,0.01,0.4405457756736062,210.84,87.61,85.48
